"","Bedrijf","Sector","Weging.in..","ISIN"
"1","Adidas AG","Sportartikelen","3,56","DE0005003404"
"2","Allianz SE","Verzekeringen","8,35","DE0008404005"
"3","BASF SE","Chemie","7,81","DE0005151005"
"4","Bayer AG","Chemie/Farmacie","7,93","DE0005752000"
"5","Beiersdorf AG","Gezondheidszorg","0,86","DE0005200000"
"6","BMW AG (St)","Voertuigen","2,77","DE0005190003"
"7","Continental AG","Autobanden","2,41","DE0005439004"
"8","Covestro","Chemie","0,61","DE0006062144"
"9","Daimler AG","Voertuigen","6,92","DE0007100000"
"10","Delivery Hero","Bezorgdienst","","DE000A2E4K43"
"11","Deutsche Bank AG","Bank","2,40","DE0005140008"
"12","Deutsche Börse AG","Financiën","2,04","DE0005810055"
"13","Deutsche Post AG","Logistiek","3,42","DE0005552004"
"14","Deutsche Telekom AG","Telecommunicatie","4,34","DE0005557508"
"15","Deutsche Wohnen SE","Onroerend Goed","","DE000A0HN5C6"
"16","E.ON AG","Energie","1,96","DE0007614406"
"17","Fresenius Medical Care AG & Co KGaA (St)","Gezondheidszorg","1,75","DE0005785802"
"18","Fresenius SE (Vz)","Gezondheidszorg","2,45","DE0005785604"
"19","HeidelbergCement AG","Bouw","1,22","DE0006047004"
"20","Henkel KGaA Vz.","Chemie","1,93","DE0006048432"
"21","Infineon Technologies AG","Elektronica","2,66","DE0006231004"
"22","Linde AG","Chemie/Machines","2,66","DE0006483001"
"23","Merck KGaA","Pharmacie","1,03","DE0006599905"
"24","Münchener Re AG","Verzekeringen","2,87","DE0008430026"
"25","MTU Aero Engines AG","Vliegtuigmotoren","","DE000A0D9PT0"
"26","RWE ST","Energie","1,04","DE0007037129"
"27","SAP AG","Software","9,18","DE0007164600"
"28","Siemens AG","Industrie","9,03","DE0007236101"
"29","Volkswagen AG (Vz)","Voertuigen","2,98","DE0007664039"
"30","Vonovia SE","Vastgoed","1,75","DE000A1ML7J1"
