"","lot","dd","kwartaal"
"1",26283,2018-02-26,1
"2",27018,2018-03-29,1
"3",26896,2018-03-30,1
"4",26897,2018-03-30,1
"5",27120,2018-04-09,2
"6",27275,2018-04-20,2
"7",27379,2018-04-23,2
"8",27366,2018-04-24,2
"9",27652,2018-05-07,2
"10",27687,2018-05-11,2
"11",27795,2018-05-14,2
"12",27812,2018-05-18,2
"13",27910,2018-05-22,2
"14",28003,2018-05-28,2
"15",28018,2018-05-30,2
"16",28051,2018-06-01,2
"17",30805,2018-11-07,4
"18",30702,2018-11-13,4
"19",31367,2018-12-12,4
"20",32165,2019-01-29,1
"21",32167,2019-01-29,1
"22",32168,2019-01-29,1
"23",33116,2019-03-25,1
"24",33080,2019-03-26,1
"25",33139,2019-03-29,1
"26",33195,2019-04-02,2
"27",33186,2019-04-04,2
"28",33321,2019-04-11,2
"29",33412,2019-04-16,2
"30",33540,2019-04-23,2
"31",33583,2019-04-23,2
"32",33643,2019-05-01,2
"33",33576,2019-05-02,2
"34",33642,2019-05-02,2
"35",33783,2019-05-09,2
"36",33784,2019-05-09,2
"37",33801,2019-05-09,2
"38",34034,2019-05-09,2
"39",33964,2019-05-13,2
"40",33929,2019-05-14,2
"41",33892,2019-05-16,2
"42",33893,2019-05-16,2
"43",33927,2019-05-16,2
"44",33942,2019-05-23,2
"45",34007,2019-05-23,2
"46",34031,2019-05-23,2
"47",34086,2019-05-23,2
"48",34188,2019-05-27,2
"49",34101,2019-05-31,2
"50",34172,2019-05-31,2
"51",34190,2019-05-31,2
"52",34258,2019-06-03,2
"53",34302,2019-06-04,2
"54",34276,2019-06-06,2
"55",34524,2019-06-17,2
"56",34463,2019-06-20,2
"57",34729,2019-07-01,3
"58",34645,2019-07-04,3
"59",34814,2019-07-08,3
"60",35469,2019-08-19,3
"61",35559,2019-08-26,3
"62",35550,2019-09-02,3
"63",35672,2019-09-02,3
"64",35681,2019-09-02,3
"65",35801,2019-09-09,3
"66",35804,2019-09-09,3
"67",35910,2019-09-16,3
"68",35912,2019-09-16,3
"69",35770,2019-09-19,3
"70",36210,2019-10-07,4
"71",36211,2019-10-07,4
"72",36743,2019-11-04,4
"73",36798,2019-11-06,4
"74",36916,2019-11-13,4
"75",36969,2019-11-20,4
"76",36971,2019-11-20,4
"77",37142,2019-11-27,4
"78",37163,2019-12-02,4
"79",37303,2019-12-05,4
"80",38040,2020-01-27,1
"81",38241,2020-01-29,1
"82",38283,2020-02-03,1
"83",38490,2020-02-17,1
"84",38617,2020-03-02,1
"85",38600,2020-03-05,1
"86",38605,2020-03-05,1
"87",38613,2020-03-02,1
"88",38975,2020-03-26,1
"89",39152,2020-03-31,1
"90",39182,2020-04-03,2
"91",39278,2020-04-06,2
"92",39027,2020-04-02,2
"93",39028,2020-04-02,2
"94",39037,2020-04-02,2
"95",39038,2020-04-02,2
"96",39163,2020-04-02,2
"97",39122,2020-04-09,2
"98",39368,2020-04-14,2
"99",39338,2020-04-16,2
"100",39134,2020-04-09,2
"101",39136,2020-04-09,2
"102",39168,2020-04-09,2
"103",39225,2020-04-16,2
"104",39228,2020-04-16,2
"105",39375,2020-04-14,2
"106",39418,2020-04-20,2
"107",39545,2020-04-23,2
"108",39547,2020-04-23,2
"109",39550,2020-04-23,2
"110",39233,2020-04-16,2
"111",39234,2020-04-16,2
"112",39361,2020-04-16,2
"113",39376,2020-04-23,2
"114",39377,2020-04-23,2
"115",39488,2020-04-23,2
"116",39489,2020-04-23,2
"117",39531,2020-04-23,2
"118",39534,2020-04-20,2
"119",39540,2020-04-20,2
"120",39625,2020-04-30,2
"121",39627,2020-04-30,2
"122",39632,2020-04-30,2
"123",39639,2020-04-27,2
"124",39676,2020-04-30,2
"125",39684,2020-04-27,2
"126",39634,2020-04-30,2
"127",39655,2020-04-22,2
"128",39508,2020-04-30,2
"129",39509,2020-04-30,2
"130",39636,2020-04-30,2
"131",39638,2020-05-01,2
"132",39648,2020-04-27,2
"133",39671,2020-04-27,2
"134",39688,2020-05-07,2
"135",39763,2020-05-11,2
"136",39768,2020-05-04,2
"137",39783,2020-05-04,2
"138",39788,2020-05-04,2
"139",39789,2020-05-04,2
"140",39541,2020-04-30,2
"141",39542,2020-04-30,2
"142",39649,2020-05-08,2
"143",39659,2020-05-08,2
"144",39665,2020-04-30,2
"145",39666,2020-04-30,2
"146",39691,2020-05-08,2
"147",39745,2020-05-08,2
"148",39753,2020-05-04,2
"149",39754,2020-05-04,2
"150",39771,2020-05-04,2
"151",39778,2020-05-04,2
"152",39780,2020-05-07,2
"153",39894,2020-05-11,2
"154",39898,2020-05-11,2
"155",39656,2020-05-08,2
"156",39746,2020-05-08,2
"157",39748,2020-05-14,2
"158",39750,2020-05-14,2
"159",39759,2020-05-07,2
