"","lot","supplier","line","grower","dd","port","week","vessel","origin","ca","plastic","brand","pd","days","maxgrade","CR","CRC","CD","CDC","bio","wk","week_date","CR_avg","maxgrade_avg","degreedays","t_max_avg_wk","t_min_avg_wk","rhum_avg_wk","t_avg_mean","prcp_sum_wk","degreedays_wk","crs","crc"
"1",15863,"VDCHIRA","Mediterranean Shipping Company BV","5421",2016-01-04,"Antwerpen (BE)",16,"MSC Katya R.","Peru","NO CA","BANAVAC","EKOOKE",2016-04-19,28,45,0,0,0,0,"1","16",2016-04-17,0.0240537544227314,44.1538461538462,1237.9,31.6788461538462,21.8461538461538,66.7115384615385,26.1480769230769,NA,1236.53666666667,0.935016242685415,-0.354604887042535
"2",15870,"VDCHIRA","Seatrade Group N.V.","1450",2016-01-04,"Barendrecht (NL)",22,"Swedish Reefer","Peru","NO CA","BANAVAC","EKOOKE ALT",2016-05-30,26,44,0,0,0,0,"1","22",2016-05-29,0.00365805494998975,44.3636363636364,1112.2,30.4145833333333,19.8979166666667,69.0625,24.3395833333333,NA,1105.52631578947,0.464723172043769,-0.88545602565321
"3",15871,"VDCHIRA","Seatrade Group N.V.","540",2016-01-04,"Barendrecht (NL)",24,"Swedish Reefer","Peru","NO CA","BANAVAC","EKOOKE ALT",2016-06-13,26,48,0,0,0,0,"1","24",2016-06-12,0.00747058645615945,44.1111111111111,1041.4,30.0788461538462,19.0884615384615,67.7884615384615,23.9019230769231,NA,1036.85277777778,0.239315664287558,-0.970941817426052
"4",15872,"APPBOSA","Seatrade Group N.V.","7004",2016-01-04,"Barendrecht (NL)",24,"Swedish Reefer","Peru","NO CA","BANAVAC","EKOOKE",2016-06-13,26,45,0,0,0,0,"1","24",2016-06-12,0.00708186596619739,44,1041.4,30.0788461538462,19.0884615384615,67.7884615384615,23.9019230769231,NA,1036.85277777778,0.239315664287558,-0.970941817426052
"5",15873,"APPBOSA","Seatrade Group N.V.","3223",2016-01-04,"Barendrecht (NL)",24,"Swedish Reefer","Peru","NO CA","BANAVAC","EKOOKE FT",2016-06-13,28,45,0,0,0,0,"1","24",2016-06-12,0.00708186596619739,44,1041.4,30.0788461538462,19.0884615384615,67.7884615384615,23.9019230769231,NA,1036.85277777778,0.239315664287558,-0.970941817426052
"6",15874,"APPBOSA","Seatrade Group N.V.","7104",2016-01-04,"Barendrecht (NL)",24,"Swedish Reefer","Peru","NO CA","BANAVAC","EKOOKE FT",2016-06-13,26,46,0,0,0,0,"1","24",2016-06-12,0.00708186596619739,44,1041.4,30.0788461538462,19.0884615384615,67.7884615384615,23.9019230769231,NA,1036.85277777778,0.239315664287558,-0.970941817426052
"7",15867,"VDCHIRA","Maersk Line A/S","411",2016-01-05,"Barendrecht (NL)",18,"Maersk Newbury","Peru","CA","POLYPACK","MIGROS SWM",2016-05-03,29,45,0,0,0,0,"0","18",2016-05-01,0.0262649377065853,45,1202.1,32.2163265306122,20.7408163265306,65.6734693877551,25.734693877551,NA,1199.9525,0.822983865893656,-0.568064746731156
"8",15868,"VDCHIRA","Maersk Line A/S","5130",2016-01-05,"Barendrecht (NL)",19,"Maersk Newbury","Peru","CA","POLYPACK","MIGROS SWM",2016-05-10,28,47,0,0.0363636363636364,0.0181818181818182,0,"0","19",2016-05-08,0.023326485190892,46,1178.05,31.734693877551,21.1408163265306,64.5510204081633,25.6020408163265,NA,1174.65,0.748510748171101,-0.663122658240795
"9",15875,"APPBOSA","Maersk Line A/S","1811",2016-01-05,"Barendrecht (NL)",25,"Maersk Newbury","Peru","CA","POLYPACK","MIGROS SWM",2016-06-20,29,42,0.0169491525423729,0.00847457627118644,0,0,"0","25",2016-06-19,0.0254237288135593,42,1005.1,29.3277777777778,18.9462962962963,66.3333333333333,23.5703703703704,NA,997.670833333333,0.120536680255323,-0.992708874098054
"10",15826,"VDCHIRA","Hapag-Lloyd AG","1484",2016-01-06,"Barendrecht (NL)",50,"Northern Dexterity","Peru","NO CA","BANAVAC","EKOOKE ALT",2015-12-10,27,46,0,0,0,0,"1","50",2015-12-06,0,46,955.2,30.9137254901961,22.4745098039216,68.9803921568627,25.7960784313725,NA,958.15,-0.239315664287558,0.970941817426052
